
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                          Observed  |       Rel. |    Aki    | Acc. |                   Ei           Ek                  |          Lower level          |          Upper level          |Type|
          |                         Wavelength |       Int. |    s^-1   |      |                  (eV)         (eV)                 |-------------------------------|-------------------------------|    |
          |                          Vac (nm)  |            |           |      |                                                    | Conf.              | Term     | Conf.              | Term     |    |
Cs III    |                     166.78995      |       5400 | 1.83e+07  |      |    14.9751377            -     22.4086913          | 5s2.5p4.(3P<2>).5d | 2[3]     | 5s2.5p4.(3P<2>).4f | 2[4]*    |    |
Cs II     |                     166.81035      |          1 |           |      |    13.31609577           -     20.74875149         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).5f  | 2[7/2]   |    |
Cs II     |                     166.87030      |         10 |           |      |    13.33723517           -     20.76721093         | 5p5.(2P*<3/2>).5d  | 2[1/2]*  | 5p5.(2P*<3/2>).8p  | 2[1/2]   |    |
Cs II     |                     166.89654      |          2 |           |      |    13.75658687           -     21.18539973         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<1/2>).7p  | 2[1/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     166.99663      |          6 |           |      |    14.10019709           -     21.52455237         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[5/2]   |    |
Cs II     |                     167.22534      |         25 |           |      |    13.98595023           -     21.40014954         | 5p5.(2P*<3/2>).5d  | 2[3/2]*  | 5p5.(2P*<3/2>).6f  | 2[3/2]   |    |
Cs III    |                     167.39909      |     11000D | 2.25e+06  |      |    13.4712504            -     20.8777503          | 5s.5p6             | 2S       | 5s2.5p4.(3P<2>).6p | 2[1]*    |    |
Cs II     |                     167.67138      |         11 |           |      |    14.10019709           -     21.49467409         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[7/2]   |    |
Cs III    |                     167.74082      |       2400 | 1.41e+07  |      |    16.5228565            -     23.9142704          | 5s2.5p4.(3P<1>).5d | 2[1]     | 5s2.5p4.(1D<2>).4f | 2[1]*    |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     167.82834      |         11 |           |      |    13.37964988           -     20.76721093         | 5p5.(2P*<3/2>).5d  | 2[1/2]*  | 5p5.(2P*<3/2>).8p  | 2[1/2]   |    |
Cs II     |                     167.9884       |         83 |           |      |    14.10019709           -     21.48072545         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[7/2]   |    |
Cs II     |                     167.99991      |          5 |           |      |    13.75658687           -     21.13659722         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<1/2>).7p  | 2[3/2]   |    |
Cs III    |                     168.16748      |       2400 | 9.33e+06  |      |    17.1772012            -     24.5498628          | 5s2.5p4.(3P<2>).6s | 2[2]     | 5s2.5p4.(3P<1>).4f | 2[3]*    |    |
Cs III    |                     168.27827      |      10000 | 1.25e+07  |      |    15.6129386            -     22.9807437          | 5s2.5p4.(3P<2>).5d | 2[4]     | 5s2.5p4.(3P<1>).4f | 2[4]*    |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     168.57920      |          5 |           |      |    13.98595023           -     21.34060652         | 5p5.(2P*<3/2>).5d  | 2[3/2]*  | 5p5.(2P*<3/2>).6f  | 2[3/2]   |    |
Cs II     |                     168.76949      |         14 |           |      |    14.10019709           -     21.44655511         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[5/2]   |    |
Cs II     |                     168.86322      |          2 |           |      |    14.66417831           -     22.0064625          | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).10p | 2[3/2]   |    |
Cs III    |                     168.9143       |         11 | 4.78e+07  |      |    20.8999230            -     28.2399947          | 5s2.5p4.(3P<2>).4f | 2[3]*    | 5s2.5p4.(3P<2>).5g | 2[3]     |    |
Cs II     |                     168.94656      |        690 |           |      |    13.31609577           -     20.65475610         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).5f  | 2[5/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     169.18282      |        230 |           |      |    14.10019709           -     21.42860824         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[9/2]   |    |
Cs III    |                     169.3260       |         30 | 8.45e+07  |      |    20.8999230            -     28.2221420          | 5s2.5p4.(3P<2>).4f | 2[3]*    | 5s2.5p4.(3P<2>).5g | 2[4]     |    |
Cs III    |                     169.35825      |       1800 | 3.71e+08  |      |    20.8999230            -     28.2207442          | 5s2.5p4.(3P<2>).4f | 2[3]*    | 5s2.5p4.(3P<2>).5g | 2[5]     |    |
Cs II     |                     169.8036       |          5 |           |      |    13.75658687           -     21.05820574         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<1/2>).7p  | 2[3/2]   |    |
Cs II     |                     169.84243      |          5 |           |      |    14.10019709           -     21.40014954         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[3/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs III    |                     170.1294       |         17 | 1.82e+05  |      |    18.9709881            -     26.2586272          | 5s2.5p4.(1D<2>).5d | 2[3]     | 5s2.5p4.(3P<2>).5f | 2[5]*    |    |
Cs III    |                     170.2608       |         34 | 3.04e+07  |      |    20.9579873            -     28.2399947          | 5s2.5p4.(3P<2>).4f | 2[3]*    | 5s2.5p4.(3P<2>).5g | 2[3]     |    |
Cs III    |                     170.3125       |         39 | 1.23e+08  |      |    20.9579873            -     28.2377919          | 5s2.5p4.(3P<2>).4f | 2[3]*    | 5s2.5p4.(3P<2>).5g | 2[3]     |    |
Cs III    |                     170.3320       |         47 | 7.42e+07  |      |    20.9417682            -     28.2207442          | 5s2.5p4.(3P<2>).4f | 2[4]*    | 5s2.5p4.(3P<2>).5g | 2[5]     |    |
