
----------------------------------------------------------------------------------------
Spectrum  |          Observed  |    Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |    Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |         |           |      |                     |    |
----------------------------------------------------------------------------------------
Re I      |           628.641  |      10 |           |      |                     |    |
Re I      |           630.342  |      10 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           630.770  |     200 |           |      |                     |    |
Re I      |           632.190  |     200 |           |      |                     |    |
Re I      |           635.075  |    80bl |           |      |                     |    |
Re I      |           638.294  |     16w |           |      |                     |    |
Re I      |           641.147  |      14 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           651.147  |      50 |           |      |                     |    |
Re I      |           651.525  |      14 |           |      |                     |    |
Re I      |           654.491  |      12 |           |      |                     |    |
Re I      |           657.711  |     35c |           |      |                     |    |
Re I      |           659.252  |   40c,w |           |      |                     |    |
          |                    |         |           |      |                     |    |
