
----------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |           Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |            Vac (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------------------
          |                      |       |           |      |                     |    |
Y III     |           538.364    |  4000 |           |      |                     |    |
Y I       |           538.83878  |    10 | 1.1e+06   |      |                     |    |
Y I       |           539.08129  |    25 | 2.9e+06   |      |                     |    |
Y I       |           540.18770  |     5 | 6.0e+05   |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           540.278    |   220 |           |      |                     |    |
Y I       |           541.70330  |   200 |           |      |                     |    |
Y I       |           542.43619  |   400 | 3.47e+07  |      |                     |    |
Y I       |           543.82257  |   500 |           |      |                     |    |
Y I       |           546.6242   |   300 | 1.0e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           546.6467   |  5000 | 6.3e+07   |      |                     |    |
Y I       |           546.8470   |   400 |           |      |                     |    |
Y I       |           546.9104   |     3 | 3.6e+05   |      |                     |    |
Y II      |           547.339    |    90 | 4.3e+06   |      |                     |    |
Y II      |           548.074    |    90 | 7.62e+06  |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           549.3148   |   300 |           |      |                     |    |
Y I       |           549.5580   |   300 |           |      |                     |    |
Y II      |           549.741    |   240 | 1.2e+07   |      |                     |    |
Y I       |           550.34639  |   750 |           |      |                     |    |
Y II      |           550.990    |   250 | 4.24e+06  |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           551.36475  |   400 | 2.39e+07  |      |                     |    |
Y I       |           551.98803  |     8 | 1.2e+06   |      |                     |    |
Y I       |           552.16946  |   300 |           |      |                     |    |
Y II      |           552.170    |       |           |      |                     |    |
Y I       |           552.643    |       | 3.9e+05   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           552.6803   |   140 |           |      |                     |    |
Y I       |           552.7561   |  1000 | 5.4e+07   |      |                     |    |
Y I       |           554.16290  |   200 | 5.2e+06   |      |                     |    |
Y I       |           554.45041  |   300 |           |      |                     |    |
Y II      |           554.461    |       | 1.8e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           554.602    |    90 | 5.8e+06   |      |                     |    |
Y I       |           555.09977  |    30 | 6.9e+06   |      |                     |    |
Y I       |           555.64169  |   300 |           |      |                     |    |
Y III     |           556.281    |  6000 |           |      |                     |    |
Y III     |           556.727    |   600 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           556.77583  |   500 |           |      |                     |    |
Y III     |           557.224    |  4000 |           |      |                     |    |
Y I       |           557.30326  |     9 | 1.8e+06   |      |                     |    |
Y I       |           557.74156  |   500 |           |      |                     |    |
Y I       |           558.10767  |   100 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           558.1874   |   750 |           |      |                     |    |
Y I       |           559.09519  |    70 |           |      |                     |    |
Y I       |           559.41240  |   100 | 5.0e+06   |      |                     |    |
Y III     |           559.548    |   400 |           |      |                     |    |
Y III     |           560.208    |  3000 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           560.63346  |   500 | 5.84e+06  |      |                     |    |
Y I       |           561.9962   |    10 | 2.0e+06   |      |                     |    |
Y I       |           562.38896  |    50 |           |      |                     |    |
Y I       |           563.0138   |   750 | 4.9e+07   |      |                     |    |
Y I       |           563.22510  |   150 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           563.29067  |    50 |           |      |                     |    |
Y I       |           564.17735  |     9 | 1.9e+06   |      |                     |    |
Y I       |           564.46871  |   500 |           |      |                     |    |
Y I       |           564.84546  |   500 |           |      |                     |    |
Y II      |           566.294    |   740 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           567.52672  |   500 | 9.3e+06   |      |                     |    |
Y I       |           567.56407  |    50 | 4.3e+06   |      |                     |    |
Y I       |           569.36333  |   100 | 1.1e+07   |      |                     |    |
Y I       |           570.6713   |   500 |           |      |                     |    |
Y I       |           571.4944   |    20 | 2.0e+06   |      |                     |    |
          |                      |       |           |      |                     |    |
