
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |    Rel. |    Aki    | Acc. |              Ei           Ek              |           Lower level           |           Upper level           |Type|
          |                Wavelength |    Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------|---------------------------------|    |
          |                 Vac (nm)  |         |           |      |                                           | Conf.                 | Term    | Conf.                 | Term    |    |
Al IV     |                116.1885   |     300 | 1.77e+08  | C+   |     84.51795        -      95.18894       | 2s2.2p5.(2P*).3p      | 3D      | 2s2.2p5.(2P*).3d      | 3D*     |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al III    |                116.266    |     10* | 1.39e+07  | A    |     14.376737       -      25.041231      | 2p6.3d                | 2D      | 2p6.6f                | 2F*     |    |
Al III    |                116.266    |     10* | 2.09e+08  | A+   |     14.376737       -      25.041231      | 2p6.3d                | 2D      | 2p6.6f                | 2F*     |    |
Al III    |                116.267    |     10* | 1.95e+08  | A+   |     14.377021       -      25.041231      | 2p6.3d                | 2D      | 2p6.6f                | 2F*     |    |
Al V      |                116.542    |     350 | 5.09e+08  | B+   |     93.21629        -     103.85489       | 2s2.2p4.(3P).3s       | 4P      | 2s2.2p4.(3P).3p       | 4S*     |    |
Al IV     |                116.739    |     150 | 9.41e+07  | B    |     84.51795        -      95.13871       | 2s2.2p5.(2P*).3p      | 3D      | 2s2.2p5.(2P*).3d      | 3D*     |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                116.848    |     250 | 9.10e+08  | A    |    103.85489        -     114.46558       | 2s2.2p4.(3P).3p       | 4S*     | 2s2.2p4.(3P).3d       | 4P      |    |
Al II     |                116.9860   |       3 | 8.37e+03  | A+   |      0.00000        -      10.598336      | 2p6.3s2               | 1S      | 3p2                   | 1D      | E2 |
Al IV     |                117.159    |       5 | 5.52e+07  | C+   |     84.51795        -      95.10030       | 2s2.2p5.(2P*).3p      | 3D      | 2s2.2p5.(2P*).3d      | 1D*     |    |
Al V      |                117.347    |     200 | 3.87e+08  | B+   |    102.3808         -     112.94645       | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4D      |    |
Al II     |                117.74371  |     125 |           |      |      7.420704       -      17.950708      | 3s.3p                 | 1P*     | 3s.8d                 | 1D      |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al II     |                117.93541  |     125 |           |      |      7.420704       -      17.933587      | 3s.3p                 | 1P*     | 3s.9s                 | 1S      |    |
Al IV     |                117.9666   |      20 | 6.81e+07  | C+   |     84.67895        -      95.18894       | 2s2.2p5.(2P*).3p      | 3D      | 2s2.2p5.(2P*).3d      | 3D*     |    |
Al V      |                117.986    |      20 | 1.24e+08  | B    |    102.53803        -     113.04631       | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4D      |    |
Al I      |                118.1907   |   36g,a |           |      |      0.0138938      -      10.50408       | 3s2.3p                | 2P*     | 3s.3p.(3P*).11p?      | 2S?     |    |
Al I      |                118.201    |   26g,a |           |      |      0.0138938      -      10.5032        | 3s2.3p                | 2P*     | 3s.3p.(3P*).11p?      | 2D?     |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al I      |                118.2379   |   57g,a |           |      |      0.000000       -      10.48600       | 3s2.3p                | 2P*     | 3s.3p.(3P*).11p?      |         |    |
Al V      |                118.362    |     120 | 8.47e+08  | B+   |    103.85489        -     114.32989       | 2s2.2p4.(3P).3p       | 4S*     | 2s2.2p4.(3P).3d       | 4P      |    |
Al I      |                118.5660   |   81g,a |           |      |      0.0138938      -      10.47087       | 3s2.3p                | 2P*     | 3s.3p.(3P*).10p?      | 2S?     |    |
Al I      |                118.579    |   57g,a |           |      |      0.0138938      -      10.4697        | 3s2.3p                | 2P*     | 3s.3p.(3P*).10p?      | 2D?     |    |
Al V      |                118.618    |     100 | 1.83e+08  | B    |    102.53803        -     112.99042       | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4D      |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al I      |                118.6346   |   60g,a |           |      |      0.000000       -      10.45093       | 3s2.3p                | 2P*     | 3s.3p.(3P*).10p?      |         |    |
Al V      |                118.867    |      15 | 1.49e+08  | C+   |    102.66326        -     113.09376       | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4D      |    |
Al II     |                118.91854  |     125 | 8.29e+07  | C+   |      4.636145       -      15.0621269     | 3s.3p                 | 3P*     | 3s.4d                 | 3D      |    |
Al IV     |                118.9711   |      50 | 1.36e+08  | B    |     84.67895        -      95.10030       | 2s2.2p5.(2P*).3p      | 3D      | 2s2.2p5.(2P*).3d      | 1D*     |    |
Al II     |                119.00518  |     150 | 1.12e+08  | C+   |      4.643693       -      15.062086      | 3s.3p                 | 3P*     | 3s.4d                 | 3D      |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al I      |                119.0939   |   94g,a |           |      |      0.0138938      -      10.42452       | 3s2.3p                | 2P*     | 3s.3p.(3P*).9p?       | 2S?     |    |
Al V      |                119.120    |       8 | 3.97e+07  | C+   |    102.53803        -     112.94645       | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4D      |    |
Al I      |                119.134    |   75g,a |           |      |      0.0138938      -      10.4210        | 3s2.3p                | 2P*     | 3s.3p.(3P*).9p?       | 2D?     |    |
Al II     |                119.18111  |     190 | 1.48e+08  | C+   |      4.659052       -      15.062034      | 3s.3p                 | 3P*     | 3s.4d                 | 3D      |    |
