
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
Os I      |           421.386  |   120 |           |      |                     |    |
Os I      |           421.516  |   100 |           |      |                     |    |
Os I      |           423.346  |   170 |           |      |                     |    |
Os I      |           426.085  |  4900 |           |      |                     |    |
Os I      |           426.475  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           426.961  |   120 |           |      |                     |    |
Os I      |           428.590  |   100 |           |      |                     |    |
Os I      |           429.395  |   560 |           |      |                     |    |
Os I      |           431.140  |   560 |           |      |                     |    |
Os I      |           432.625  |   110 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           432.868  |   340 |           |      |                     |    |
Os I      |           433.875  |   100 |           |      |                     |    |
Os I      |           435.153  |   100 |           |      |                     |    |
Os I      |           436.567  |   210 |           |      |                     |    |
Os I      |           437.066  |   110 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           439.486  |   520 |           |      |                     |    |
Os I      |           439.726  |   160 |           |      |                     |    |
Os I      |           440.274  |   160 |           |      |                     |    |
Os I      |           442.047  |  4900 |           |      |                     |    |
Os I      |           443.241  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           443.632  |   290 |           |      |                     |    |
Os I      |           443.964  |   100 |           |      |                     |    |
Os I      |           444.735  |   230 |           |      |                     |    |
Os I      |           448.476  |   120 |           |      |                     |    |
Os I      |           454.866  |   110 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           455.041  |   540 |           |      |                     |    |
Os I      |           455.130  |   140 |           |      |                     |    |
Os I      |           461.678  |   170 |           |      |                     |    |
Os I      |           463.183  |   170 |           |      |                     |    |
Os I      |           466.382  |   140 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           479.399  |   670 |           |      |                     |    |
Os I      |           486.560  |   110 |           |      |                     |    |
Os I      |           503.183  |    55 |           |      |                     |    |
Os I      |           503.912  |    45 |           |      |                     |    |
Os I      |           507.288  |    35 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           507.477  |    35 |           |      |                     |    |
Os I      |           507.909  |    35 |           |      |                     |    |
Os I      |           510.350  |    90 |           |      |                     |    |
Os I      |           511.081  |    55 |           |      |                     |    |
Os I      |           512.223  |    22 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           514.554  |    22 |           |      |                     |    |
Os I      |           514.974  |   140 |           |      |                     |    |
Os I      |           515.201  |    28 |           |      |                     |    |
