
---------------------------------------------------------------------------------------
Spectrum  |          Observed  |   Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |   Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |        |           |      |                     |    |
---------------------------------------------------------------------------------------
          |                    |        |           |      |                     |    |
Nb I      |           339.593  |    170 |           |      |                     |    |
Nb I      |           339.940  |    120 |           |      |                     |    |
Nb I      |           340.541  |    230 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           340.613  |    130 |           |      |                     |    |
Nb I      |           340.838  |    270 |           |      |                     |    |
Nb II     |           340.868  |    230 |           |      |                     |    |
Nb II     |           340.919  |    180 |           |      |                     |    |
Nb II     |           341.294  |    230 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           341.597  |    180 |           |      |                     |    |
Nb I      |           342.376  |    180 |           |      |                     |    |
Nb II     |           342.542  |    230 |           |      |                     |    |
Nb I      |           342.585  |    130 |           |      |                     |    |
Nb II     |           342.657  |    230 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           342.745  |    230 |           |      |                     |    |
Nb I      |           342.904  |    130 |           |      |                     |    |
Nb II     |           343.270  |    180 |           |      |                     |    |
Nb II     |           344.059  |    180 |           |      |                     |    |
Nb I      |           346.381  |    170 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           346.586  |    180 |           |      |                     |    |
Nb I      |           346.944  |    130 |           |      |                     |    |
Nb I      |           347.119  |    100 |           |      |                     |    |
Nb I      |           347.302  |    140 |           |      |                     |    |
Nb I      |           347.869  |    290 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           347.956  |    200 |           |      |                     |    |
Nb II     |           348.405  |    100 |           |      |                     |    |
Nb I      |           349.103  |    230 |           |      |                     |    |
Nb I      |           349.781  |    200 |           |      |                     |    |
Nb I      |           349.863  |    500 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           350.796  |    460 |           |      |                     |    |
Nb II     |           351.026  |    200 |           |      |                     |    |
Nb II     |           351.542  |    200 |           |      |                     |    |
Nb II     |           351.767  |    200 |           |      |                     |    |
Nb I      |           352.006  |    200 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           353.530  |   2000 |           |      |                     |    |
Nb I      |           353.748  |   1300 |           |      |                     |    |
Nb II     |           354.096  |    250 |           |      |                     |    |
Nb I      |           354.402  |    500 |           |      |                     |    |
Nb I      |           354.465  |    250 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           355.045  |    300 |           |      |                     |    |
Nb I      |           355.452  |    250 |           |      |                     |    |
Nb I      |           355.466  |   1000 |           |      |                     |    |
Nb I      |           356.350  |    630 |           |      |                     |    |
Nb I      |           356.362  |    630 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           357.585  |   1500 |           |      |                     |    |
Nb I      |           357.772  |    200 |           |      |                     |    |
Nb I      |           358.027  |   5000 |           |      |                     |    |
Nb I      |           358.497  |    500 |           |      |                     |    |
Nb I      |           358.911  |    750 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           358.936  |    500 |           |      |                     |    |
Nb I      |           359.397  |    500 |           |      |                     |    |
Nb I      |           360.256  |    500 |           |      |                     |    |
Nb II     |           361.951  |    300 |           |      |                     |    |
Nb I      |           362.103  |    200 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           363.933  |    200 |           |      |                     |    |
Nb I      |           364.985  |    420 |           |      |                     |    |
Nb I      |           365.081  |    250 |           |      |                     |    |
Nb II     |           365.119  |    400 |           |      |                     |    |
Nb II     |           365.961  |    200 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           366.037  |    630 |           |      |                     |    |
Nb I      |           366.470  |    900 |           |      |                     |    |
Nb I      |           366.901  |    220 |           |      |                     |    |
Nb I      |           367.478  |    270 |           |      |                     |    |
Nb I      |           369.785  |   1500 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           371.134  |    330 |           |      |                     |    |
Nb I      |           371.301  |   3300 |           |      |                     |    |
Nb I      |           371.699  |    480 |           |      |                     |    |
Nb I      |           372.624  |   2700 |           |      |                     |    |
Nb I      |           373.842  |    270 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           373.980  |   2700 |           |      |                     |    |
Nb II     |           374.073  |    670 |           |      |                     |    |
Nb I      |           374.178  |    270 |           |      |                     |    |
