
-----------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |Type|
           Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------|-----------------------|    |
            Air (nm)  |       |           |      |                                 | Conf.          | Term | Conf.          | Term |    |
           220.3188   |   40* |           |      |    0.365913    -     5.991711   | 5d5.(6S).6s    | 7S   |                | *    |    |
           220.3188   |   40* |           |      |    0.00000     -     5.625659   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           220.3518   |     6 |           |      |    0.365913    -     5.990772   | 5d5.(6S).6s    | 7S   |                | *    |    |
           220.4092   |    50 |           |      |    0.598844    -     6.222234   | 5d4.6s2        | 5D   |                | *    |    |
           220.4610   |    15 |           |      |    1.868433    -     7.490484   | 5d4.6s2        | 3H   |                | *    |    |
           220.5368   |    20 |           |      |                                 |                |      |                |      |    |
           220.6456   |     4 |           |      |    1.655010    -     7.272382   | 5d4.6s2        | 3G   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           220.7028   |    20 |           |      |    1.655010    -     7.270941   | 5d4.6s2        | 3G   |                | *    |    |
           220.7160   |    30 |           |      |    0.365913    -     5.981529   | 5d5.(6S).6s    | 7S   |                | *    |    |
           220.7373   |    40 |           |      |    1.649870    -     7.264906   | 5d4.6s2        | 3P2  |                | *    |    |
           220.7542   |    20 |           |      |                                 |                |      |                |      |    |
           220.8314   |    25 |           |      |                                 |                |      |                |      |    |
                      |       |           |      |                                 |                |      |                |      |    |
           220.8382   |    15 |           |      |                                 |                |      |                |      |    |
           220.9064   |    35 |           |      |    0.771099    -     6.381843   | 5d4.6s2        | 5D   |                | *    |    |
           220.9422   |    20 |           |      |    1.655010    -     7.264906   | 5d4.6s2        | 3G   |                | *    |    |
           221.0745   |    15 |           |      |    0.365913    -     5.972387   | 5d5.(6S).6s    | 7S   |                | *    |    |
           221.1644   |    30 |           |      |                                 |                |      |                |      |    |
                      |       |           |      |                                 |                |      |                |      |    |
           221.2170   |    75 |           |      |    1.507891    -     7.110781   | 5d4.6s2        | 3H   |                | *    |    |
           221.2606   |    20 |           |      |                                 |                |      |                |      |    |
           221.3460   |     8 |           |      |                                 |                |      |                |      |    |
